Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Agustín De la Cuesta Airoldi,Racing,Primera División,2026,351,Left Defensive Midfielder,Argentina,20,03/01/06,0.26,0.26,0.04,0.03,1.54,17,33,3,,0.29,0,0.07,0.77,0,0.04,0.26,0,0.03,0.51,0.26,0.11,2.31,0.14,0.77,0.77,0,100,1.03,0,2.05,1.03,0.77,0.61,1.03,0.86,19.75,8.47,0,7.44,45.36,16.68,8.21,2.57,3.34,63,2.04,2.65,2.05,43,1.54,33,1.03,0,15.39,13.37,6.16,5.13,2.82,48.76,7.44,48,3.59,70,0.26,0,0,32.58,63,2.57,85,48,1.54,4.87,11,47,-17,54.7,5.39,0.11,0.17,25.91,88,5.82,8.72,1.03,0.51,0.51,0,1.8,2.31,0,25,0.26,33,0,28,69,3,29,65,6,22.07,14.86,0.97,115,-7.21,21.36,17.02,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,10,3.05,21,0.04,0.08,0.05,0,,0.17
Agustín Dos Santos,Nacional,Primera División,2026,907,Right Defensive Midfielder,Uruguay,18,08/02/08,0,0,0.03,0.04,0.89,0,22,1,,0,0,0.04,0.5,0,0.02,0.3,0,0.03,0.2,0,0.07,1.39,-0.07,0.5,0.3,0.2,60,0.89,0,1.09,1.69,0.99,1.13,0.99,1.01,25.81,11.51,0.04,8.44,46.43,11.02,6.15,3.08,4.07,76,3.79,4.93,1.99,43,0.99,50,1.49,0,20.74,23.59,6.95,6.35,2.68,47.57,9.23,44,3.37,53,0.3,0,0,39.7,74,4.57,18,60,1.89,6.75,16,68,-6,54.12,4.96,0.39,0.4,33.75,94,5.42,8.73,1.09,0.4,0.69,0,1.59,1.99,0.1,9,0.1,14,0.2,17,70,13,20,69,10,22.07,17.88,0.97,113,-4.19,21.38,20.24,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,6,6.65,38,0.01,0.01,0.03,-0.04,,0.02
Agustín Miranda,Cerro,Primera División,2026,660,Left Centre Midfielder,Uruguay,34,27/11/92,0.14,0.14,0.05,0.04,1.23,11,33,1,,0.12,0.27,0.07,0.95,0.27,0.06,0.82,0,0,0.14,0.41,0.12,2.18,0.29,1.09,0.55,0.55,50,1.64,0,2.32,2.32,0.68,0.4,1.36,0.78,23.72,11.72,0.04,8.45,45.75,10.5,5.59,2.45,3.14,75,1.55,1.96,2.59,25,0.82,57,1.77,0.14,18.67,11.75,6.27,6.41,2.18,47.31,8.72,47,3.95,62,0.14,0.14,0.14,28.49,71,1.77,12,45,1.64,3.68,24,63,-8,51.44,2.86,0.19,0.21,23.31,87,4.12,5.59,0.27,0.14,0.14,0.14,2.32,2.45,0.14,0,0.14,33,0.41,23,69,7,27,63,10,18.86,14.61,0.93,100,-4.25,17.63,14.66,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,7,2.6,30,-0.03,0.06,-0.03,0.06,,0.05
Agustín Ocampo,Progreso,Primera División,2026,338,Centre Attacking Midfielder,Uruguay,29,22/11/97,0.27,0,0.26,0.16,1.6,0,33,3,100,0.11,0,0,0.27,0,0,0.27,0,0,0,0,0.26,1.86,-0.26,1.6,1.33,0.27,83,1.6,0,2.93,1.86,0.53,0.1,1.6,0.48,20.5,9.05,0,6.66,44.63,11.72,5.59,2.13,2.66,67,0.84,0.95,1.6,0,1.07,50,0.8,0,16.78,8.47,6.12,5.59,2.4,48.13,7.99,48,3.46,62,0.53,0,0.27,31.69,52,3.73,70,40,1.86,9.05,10,46,-6,48,5.06,0.42,0.5,28.76,84,5.53,4.79,0.53,0.27,0.27,0,3.73,3.99,0,0,0,0,0,36,54,10,44,56,0,24.77,15.43,0.9,119,-9.34,22.36,18.41,0,0,0,0,0,,0,0,,0,0,0,0,0,0,39,7,4.1,34,0.05,0.04,0.06,-0.2,,-0.06
Agustín Pereira,Albion,Primera División,2026,744,Right Back,Uruguay,25,23/03/01,0,0,0.02,0.05,0.48,0,25,0,,0,0,0.02,0.48,0,0.01,0.24,0,0.01,0.24,0,0.04,0.97,-0.04,0.48,0.24,0.24,50,1.57,0,0.61,0.73,0.73,0.93,3.15,3.97,16.58,7.63,0.06,5.69,29.93,10.41,2.9,2.78,3.51,70,3.79,4.73,1.57,56,1.21,77,2.06,0,12.22,15.81,3.51,3.51,1.09,36.55,3.27,27,1.69,48,0.36,0,0.12,41.76,82,2.18,12,50,4.12,3.39,15,69,-13,46.32,3.99,0.22,0.24,35.58,97,4.92,6.29,0.97,0.24,0.73,0,0.97,1.21,0.12,13,0.12,14,0.12,25,62,13,23,63,13,20.32,21.95,0.92,83,1.62,18.75,18.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,8,5.17,43,0.1,0.1,0.02,-0.03,,0.19
Agustín Pinheiro,Progreso,Primera División,2026,2123,Left Defensive Midfielder,Uruguay,24,14/03/02,0,0,0.01,0.04,0.25,0,50,0,,0.01,0.08,0.02,0.38,0.08,0.02,0.38,0,0,0,0.08,0.03,0.64,0.05,0.59,0.34,0.25,57,1.06,0,0.85,1.1,1.19,0.71,1.57,0.94,21.24,9.37,0.04,7.29,40.19,11.19,4.28,2.92,4.11,75,2.41,3.12,1.19,38,0.97,54,1.61,0.04,17.17,12.55,5.55,4.32,1.27,42.42,6.19,36,2.71,63,0.21,0,0.08,25.18,73,1.53,10,49,1.95,2.71,17,65,-8,49.84,3.09,0.19,0.2,18.44,92,5.09,5.64,0.38,0.38,0,0.04,0.51,0.89,0.04,22,0.13,27,0.08,29,62,9,28,68,5,19.2,16.14,0.94,98,-3.06,17.98,15.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,8,2.37,21,0.01,0.07,0.02,-0.01,,0.08
Agustín Requena,Progreso,Primera División,2026,600,Goalkeeper,Uruguay,28,08/12/98,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.15,0,0,0,0,0,0,0,0.3,0.15,0,7.2,2.12,4.95,0,0,0,,0,0,0.15,,0,,0,0,0.15,0.1,0.15,0,0,5.37,0,0,0,,0.15,0,0,12.74,59,9.3,64,49,1.35,17.54,6,70,11,11.04,0.45,0.14,0.14,11.25,100,6.87,0.3,0,0,0,0,0,0,0,,0,,0,68,32,0,100,0,0,50.44,47.63,0.87,103,-2.81,44.09,49.09,1.05,1.34,0.29,73,66,7,1.24,3.9,33,11.99,1.82,0.3,0.3,18.49,-2,43,2,1.36,8,0.09,0.05,-0.1,,-0.29,-0.25
Agustín Rogel,Nacional,Primera División,2026,1418,Right Centre Back,Uruguay,29,16/10/97,0.13,0.13,0.1,0.22,0.44,29,43,0,,0.11,0,0.01,0.06,0,0.01,0.06,0,0,0,0.13,0.11,0.51,0.01,0.19,0,0.19,0,0.44,0,0.19,0.25,0.44,0.62,3.43,4.28,9.01,4.38,0.04,4.57,28.63,11.3,2.35,1.71,2.16,93,2.07,2.69,1.02,60,0.13,68,3.24,0,6.35,7.8,3.36,1.33,0.7,30.49,1.52,24,1.02,76,0.32,0,0,47.03,83,5.78,12,59,4.95,8.19,12,56,-27,37.31,4,0.37,0.39,36.75,99,4.52,4.44,0.38,0.38,0,0.19,1.4,1.78,0,0,0,,0.25,27,72,1,37,63,0,25.46,25.94,0.93,87,0.48,23.63,22.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,5,3.34,19,0.1,0.04,0.09,-0.01,,0.22
Agustín Álvarez,Racing,Primera División,2026,987,Centre Defensive Midfielder,Uruguay,25,19/04/01,0,0,0.03,0.03,1,0,9,1,,0,0.18,0.15,1.82,0,0.04,0.82,0.18,0.11,1,0.18,0.18,2.83,0,0.64,0.46,0.18,71,0.46,0,0.36,0.64,1.09,0.96,1.73,1.39,14.78,7.3,0.06,6.57,38.5,15.14,6.11,1.46,2.55,70,1.41,2.37,1.28,42,0.64,57,1.19,0.09,12.04,11.15,5.38,2.92,1.09,42.01,3.37,28,1.28,44,0.27,0,0,34.02,80,3.1,21,52,2.1,5.56,14,69,-11,51.6,5.02,0.35,0.4,24.9,97,4.69,7.39,2.01,0.64,1.37,0,0.64,1.28,0,27,0.55,60,0,27,66,7,37,60,2,22.18,18.75,0.94,100,-3.43,20.85,18.74,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,7,7.51,43,0.19,0.08,0.01,-0.04,,0.23
Alan Nicolás García Pereyra,Wanderers,Primera División,2026,713,Left Back,Uruguay,27,13/09/99,0,0,0.03,0.09,0.38,0,0,0,,0,0,0,0.25,0,0,0.25,0,0,0,0,0.04,0.63,-0.04,0.38,0.38,0,100,0.38,0,1.39,0.88,1.01,1,2.02,1.47,18.67,7.82,0.03,6.56,41.26,11.73,4.16,3.28,4.29,70,3.1,4.1,1.39,42,1.39,35,0.76,0,14.13,12.07,4.54,4.67,1.39,47.7,6.06,43,3.15,68,0.25,0,0,32.93,69,2.52,20,44,2.9,4.79,10,59,-10,50.14,3.66,0.37,0.38,23.21,91,5.04,7.7,0.63,0.25,0.38,0,0.63,0.88,0.13,0,0,0,0,36,56,9,30,64,7,20.37,22.48,0.91,118,2.11,18.57,26.51,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,7,3.68,27,0.06,0.03,-0.01,-0.04,,0.04
Alan del Arco,Defensor Sporting,Primera División,2026,1064,Right Wing,Uruguay,18,02/01/08,0,0,0.16,0.08,2.03,0,29,4,,0.13,0,0.11,1.1,0,0.11,1.1,0,0,0,0,0.28,3.13,-0.28,5.41,2.2,3.21,41,1.02,0,2.45,6.43,0.34,0.33,0.85,1.02,17.34,7.61,0.01,3.89,50.94,7.7,4.57,1.18,1.52,61,1.39,1.72,1.44,18,0.76,66,1.61,0,14.72,15.94,3.38,4.4,1.18,54.28,8.29,56,3.55,81,0.34,0,0,20.64,47,0.76,13,24,1.02,3.05,24,47,0,63.95,2.79,0.31,0.5,25.97,72,5.9,5.08,0.93,0.93,0,0.34,4.15,5.08,0,82,0.93,32,0.42,21,65,14,22,62,17,19.28,14.11,0.9,107,-5.17,17.28,15.16,0,0,0,0,0,,0,0,,0,0,0,0,0,0,42,7,4.04,25,0.01,0.03,0.06,0.02,,0.12
Alejandro Severo,Cerro,Primera División,2026,599,Left Wing,Uruguay,21,26/08/05,0.3,0.3,0.09,0.06,1.5,20,50,3,,0.27,0,0.12,0.75,0,0.12,0.75,0,0,0,0.3,0.21,2.26,0.09,2.71,2.11,0.6,78,1.2,0,3.16,3.01,0.15,0.11,0.75,0.47,20.75,10.98,0,6.01,47.87,6.77,4.51,1.65,1.8,58,0.9,1.01,1.35,22,1.2,18,0.45,0,17.74,9.74,4.96,4.51,1.65,49.04,7.52,42,3.31,73,0.3,0,0,20.45,68,0.45,22,43,1.2,0.6,27,68,0,61.39,3.01,0.09,0.27,26.77,78,5.11,7.52,0.9,0.9,0,0,2.26,3.16,0,0,0,0,0.3,21,57,22,20,58,22,15.74,13.13,0.97,121,-2.61,15.32,15.92,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,9,2.71,26,-0.02,0.04,0.01,0.09,,0.12
Alejo Cruz,CA Juventud,Primera División,2026,1301,Left Wing,Uruguay,26,31/08/00,0.28,0.28,0.13,0.07,1.94,14,39,3,,0.22,0.14,0.1,1.25,0.14,0.1,1.25,0,0,0,0.42,0.24,3.18,0.18,2.35,1.11,1.25,47,1.25,0,2.42,3.04,0.35,0.36,0.21,0.18,9.41,4.15,0.02,3.25,55.09,7.06,4.08,0.97,1.31,93,1.16,1.52,0.42,50,0.07,40,0.42,0,8.03,9.55,2.84,3.39,1.18,58.2,4.98,62,2.77,82,0.07,0,0,29.76,68,1.45,75,45,0.83,2.63,15,63,-5,62.84,4.84,0.41,0.52,31.56,86,5.81,11.21,1.8,1.8,0,0.21,2.98,4.78,0.07,15,0.69,26,0.48,20,69,11,20,65,14,18.92,18.86,0.93,107,-0.05,17.56,20.12,0,0,0,0,0,,0,0,,0,0,0,0,0,0,32,10,5.2,35,0.04,0.11,0.02,0.03,,0.19
Alejo Macelli,Cerro,Primera División,2026,2422,Right Centre Back,Argentina,28,01/03/98,0.11,0.11,0.06,0.08,0.67,17,28,0,,0.06,0,0.02,0.22,0,0.02,0.22,0,0,0,0.11,0.07,0.89,0.04,0.22,0.22,0,100,1.26,0,0.89,0.26,1.41,1.05,5.2,3.74,15.87,8.66,0.05,8.21,29.59,13.71,4.35,2.82,4.24,70,1.87,2.92,1.04,32,1.23,73,3.05,0.04,12.08,8.35,4.76,2.97,1,36.9,2.86,24,1.23,41,0.3,0.04,0,36.68,77,3.68,12,53,6.32,5.8,19,68,-9,40.3,3.72,0.22,0.24,26.91,97,4.17,3.94,0.26,0.19,0.07,0,0.97,1.15,0.04,0,0,0,0,34,61,5,49,46,5,22.92,21.22,0.93,101,-1.69,21.22,21.34,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,8,2.51,21,0.03,0.05,0.05,0.01,,0.14
Alexander Ezequiel Velázquez Ghigliazza,Danubio,Primera División,2026,371,Left Wing Back,Uruguay,19,08/04/07,0,0,0.03,0.02,1.7,0,14,3,,0,0,0.05,0.49,0,0,0,0,0.05,0.49,0,0.08,2.19,-0.08,2.43,1.21,1.21,50,1.21,0,1.46,2.91,1.94,1.82,1.94,2.15,17,7.29,0,6.07,43.53,13.11,6.8,2.19,4.13,53,2.2,4.02,1.21,27,1.94,50,0.97,0,13.6,14.23,3.89,3.64,1.21,47.52,6.07,45,2.67,73,0.24,0,0,32.54,52,2.67,93,38,2.67,6.31,18,39,-14,52.7,4.13,0.27,0.28,30.6,89,6.57,4.61,1.7,1.21,0.49,0,1.7,2.91,0,14,0.24,7,0,34,55,12,37,53,11,22.9,16.97,0.91,98,-5.93,20.79,16.61,0,0,0,0,0,,0,0,,0,0,0,0,0,0,45,10,6.14,36,0.05,0.08,0.02,-0.07,,0.09
