Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Marcelo Rangel,Clube do Remo,"Serie A, Brasil",2026,826,Goalkeeper,Brazil,38,16/05/88,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.11,0,0,0,0,0,0,0,0.11,0,0,6.43,2.39,0,2.29,0,0,,0,0,0,,0,,0,0,0.11,0.07,0.11,0,0,6.23,0,0,0,,0.11,0,0,10.79,72,5.99,8,52,1.96,9.59,11,57,-14,10.68,0.54,0.04,0.04,9.92,100,5.28,0.33,0,0,0,0,0,0,0,,0,,0,48,52,0,100,0,0,41.49,46.53,0.83,86,5.04,34.42,40.2,1.63,1.48,-0.15,58,62,-4,1.28,3.92,35,11.22,1.69,0.11,0,14.11,1,21,2,1.09,8,0.06,0.06,,,-0.08,0.04
Marllon,Clube do Remo,"Serie A, Brasil",2026,826,Right Centre Back,Brazil,34,15/04/92,0,0,0,0.02,0.11,0,0,0,,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0.22,0,0,0,0,,0.87,0,0.22,0.11,1.42,0.99,4.47,2.83,9.26,4.9,0.06,5.34,20.9,0.87,7.52,1.2,2.62,79,0.78,1.77,0.87,63,0.33,72,1.42,0,7.19,4.36,3.38,1.63,0.65,26.5,0.87,12,0.54,33,0.22,0,0,27.79,86,1.53,8,50,4.79,2.72,13,61,-25,34.56,0.76,0.22,0.22,19.18,99,3.87,0.76,0,0,0,0,0.22,0.22,0,,0,,0,26,72,2,43,57,0,22.76,23.01,0.96,103,0.25,21.81,23.63,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,9,2.05,15,0.01,0.03,0.09,0,,0.13
Gabriel Brazão,Santos,"Serie A, Brasil",2026,823,Goalkeeper,Brazil,26,04/10/00,0,0,0.01,0.06,0.11,0,100,0,,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.11,-0.01,0,0,0,,0.11,0,0,0,0,0,0.11,0.16,0.33,0.11,0,5.14,2.16,0,2.51,0,0,,0,0,0.11,,0,,0,0,0.22,0.25,0,0,0,10.9,0,0,0,,0.22,0,0,10.28,74,2.84,13,41,1.09,6.01,17,81,7,9.71,0.44,0.08,0.08,9.08,100,5.04,0.22,0,0,0,0,0.22,0.22,0,,0,,0,38,62,1,50,50,0,37.48,33.24,0.73,81,-4.24,27.52,26.8,1.09,1.11,0.01,67,66,0,0.88,3.28,31,10.61,1.91,0.22,0.22,16.76,0,23,7,0.78,6,0.03,0.07,-0.08,-0.01,-0.26,-0.25
Sergio Rochet,Internacional,"Serie A, Brasil",2026,823,Goalkeeper,Uruguay,33,22/03/93,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.11,0,0,0,0,0,0,0,0.11,0,0,5.14,3.27,0,3.5,0,0,,0,0,0,100,0,,0,0,0.11,0.13,0.11,0,0,4.79,0,0,0,,0,0,0,19.25,69,5.91,9,42,2.52,11.48,17,64,-4,11.43,1.31,0.13,0.13,15.97,100,4.64,0.66,0,0,0,0,0,0,0,,0,,0,55,45,0,67,33,0,42.12,42.51,0.78,79,0.4,32.71,33.6,0.77,0.84,0.07,63,60,4,0.88,2.08,26,8.09,2.04,0.22,0.22,20.79,-1,22,5,2.5,14,0.1,0.05,0.01,,0,0.16
Carlos Miguel,Palmeiras,"Serie A, Brasil",2026,822,Goalkeeper,Brazil,28,08/10/98,0,0,0,,0,,,0,,0,0,0.04,0.11,0,0,0,0,0.04,0.11,0,0.04,0.11,-0.04,0,0,0,,0.44,0,0,0,0,0,0,0,0,0,0,5.69,2.85,0,4.16,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0.22,0,0,16.32,72,5.15,68,44,2.74,8.87,18,57,-15,10.51,0.44,0.1,0.1,15.11,100,5.1,0,0,0,0,0,0,0,0,,0,,0,42,58,0,,,,40.3,45.45,0.75,77,5.15,30.13,35.04,0.77,0.68,-0.09,72,75,-3,0.76,2.74,25,11.17,1.69,0,0,12.57,2,21,3,1.33,10,0.06,0.11,,,-0.11,0.06
Gustavo Gómez,Palmeiras,"Serie A, Brasil",2026,822,Right Centre Back,Paraguay,33,05/05/93,0.22,0.22,0.09,0.08,1.2,18,27,0,,0.1,0.11,0.09,0.44,0.11,0.09,0.44,0,0,0,0.33,0.18,1.64,0.15,0,0,0,,0.22,0,0.22,0,0.77,0.75,4.6,3.25,8.87,3.07,0.08,3.94,23.46,1.75,5.15,0.66,1.42,86,0.51,1.26,0.99,67,0.11,68,2.85,0,7.23,5.97,2.96,1.42,0.77,31.17,1.2,17,0.33,23,0,0,0,29.35,88,3.07,16,65,5.37,3.94,11,71,-17,32.25,2.08,0.41,0.45,23.54,99,3.87,2.3,0.11,0.11,0,0.11,2.19,2.3,0,0,0,,0.11,24,74,3,43,57,0,23.59,24.47,0.95,99,0.88,22.44,24.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,5,2.85,21,0.06,0.03,0.04,-0.03,,0.1
Éverson,Atlético Mineiro,"Serie A, Brasil",2026,817,Goalkeeper,Brazil,36,21/07/90,0,0,0,,0,,,0,,0,0.11,0.02,0.22,0.11,0.02,0.22,0,0,0,0.11,0.02,0.22,0.09,0,0,0,,0.22,0,0,0,0,0,0,0,0.11,0,0,7.16,2.27,0,2.97,0,0,,0,0,0.11,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,27.2,67,9.25,6,46,7.27,12.89,29,53,-13,13.36,1.76,0.22,0.24,24.23,100,4.91,1.43,0.22,0.22,0,0,0,0.22,0.22,0,0,,0,48,52,0,77,23,0,41.82,43.06,0.77,80,1.25,32.19,34.52,1.21,1.13,-0.08,72,74,-2,0.92,4.3,33,13.11,1.6,0,0,17.81,0,26,3,2.07,17,0.13,0.08,0,,-0.1,0.11
Alan Franco,Atlético Mineiro,"Serie A, Brasil",2026,817,Left Defensive Midfielder,Ecuador,28,20/08/98,0,0,0.07,0.13,0.55,0,40,1,,0.08,0.11,0.09,0.66,0.11,0.09,0.66,0,0,0,0.11,0.16,1.21,-0.05,0.11,0,0.11,0,0.44,0,0.22,0.33,0.99,0.87,1.43,1.22,15.97,7.71,0.05,4.52,32.77,2.31,6.17,1.65,2.64,88,1.1,1.97,1.65,33,0.22,50,0.66,0,12.78,10.1,3.08,2.09,0.44,37.02,3.41,27,1.1,53,0.22,0,0,27.09,86,1.32,17,55,2.42,1.43,17,77,-9,45.68,1.87,0.34,0.48,19.27,99,2.92,4.19,0.33,0.33,0,0.22,1.54,1.87,0,33,0.11,50,0.44,20,71,10,24,63,13,18.64,21.14,0.95,84,2.5,17.71,17.85,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,14,4.04,33,0.04,0.03,0.03,-0.04,,0.06
Renan Lodi,Atlético Mineiro,"Serie A, Brasil",2026,817,Left Back,Brazil,28,07/04/98,0,0,0.04,0.05,0.77,0,14,1,,0,0,0.04,0.66,0,0.04,0.66,0,0,0,0,0.07,1.43,-0.07,0.66,0.33,0.33,50,2.31,0,0.66,0.88,0.88,0.7,1.76,1.44,13.55,6.17,0.02,4.41,28.87,2.53,5.84,1.65,2.53,71,2.03,2.73,2.09,67,0.66,77,1.1,0.11,9.8,8.4,2.86,1.65,0.22,33.61,1.65,17,0.88,53,0.22,0,0,33.37,79,2.75,92,57,2.31,4.3,17,67,-12,51.2,4.19,0.35,0.39,30.62,98,4.99,9.47,0.22,0.22,0,0,1.65,1.87,0,100,0.44,29,0.11,20,68,12,19,65,16,20.48,18.19,0.95,118,-2.29,19.56,21.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,12,3.87,32,0.02,0.07,0.07,-0.04,,0.11
Kaiki,Cruzeiro,"Serie A, Brasil",2026,815,Left Back,Brazil,23,07/03/03,0,0,0.1,0.13,0.77,0,14,1,,0.06,0.22,0.19,1.1,0.22,0.19,1.1,0,0,0,0.22,0.28,1.88,-0.06,2.43,1.66,0.77,68,1.22,0,1.44,1.33,0.88,0.98,2.21,2.81,14.8,6.3,0.01,4.31,29.7,2.43,5.74,2.54,3.42,96,3.31,4.29,1.22,67,0.11,46,1.44,0,11.05,13.47,2.76,1.77,0.33,32.76,2.54,23,1.1,63,0.11,0,0,28.06,80,2.21,88,51,2.54,3.98,10,66,-14,55.78,3.65,0.31,0.43,26.84,95,5.15,9.5,1.55,1.44,0.11,0.77,2.76,4.2,0.22,21,0.55,56,0.88,23,62,15,20,66,14,19.24,18.78,0.93,110,-0.46,17.86,20.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,9,4.48,31,0.11,0.06,0.02,-0.02,,0.17
Arthur Dias,Athletico Paranaense,"Serie A, Brasil",2026,802,Left Centre Back,Brazil,19,09/04/07,0,0,0,,0,,,0,,0,0,0.01,0.11,0,0.01,0.11,0,0,0,0,0.01,0.11,-0.01,0.45,0.45,0,100,0.67,0,0.34,0.11,1.12,1.23,2.36,1.74,8.64,4.82,0.06,4.71,26.76,0.79,5.83,1.12,2.24,77,1.19,2.42,0.9,63,0.34,54,0.79,0,6.62,5.3,3.03,0.67,0.45,28.71,1.23,19,0.22,33,0.34,0,0,35.56,82,4.94,65,57,3.93,7.07,14,63,-19,37.06,2.47,0.24,0.24,31.08,99,5.07,2.92,0,0,0,0,0.34,0.34,0,,0,0,0,29,67,4,35,65,0,26.22,26.65,0.92,88,0.42,24.09,23.51,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,7,3.41,25,0.07,0.05,0.03,,,0.15
Marlon Freitas,Palmeiras,"Serie A, Brasil",2026,769,Left Defensive Midfielder,Brazil,31,26/03/95,0,0,0.01,0.09,0.12,0,100,0,,0,0.12,0.07,1.52,0.12,0.07,1.52,0,0,0,0.12,0.08,1.64,0.04,0.23,0.12,0.12,50,0.12,0,0.12,0.35,0.59,0.38,1.99,1.23,11.82,6.09,0.03,4.21,32.01,2.69,7.02,0.7,1.29,86,0.58,0.96,1.52,75,0.12,46,0.7,0,9.6,7.54,3.28,1.4,0.35,38.93,2.69,28,0.94,67,0.23,0,0,43.31,89,5.38,9,84,2.81,5.62,16,84,-5,44.9,5.03,0.44,0.49,36.52,99,4.62,7.73,0.47,0.47,0,0.12,0.35,0.82,0.12,0,0,,0.12,12,81,7,18,80,2,23.19,20.14,0.99,107,-3.06,22.95,21.6,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,5.81,41,0.02,0.07,0.03,-0.01,,0.12
Andres Gomez,Vasco da Gama,"Serie A, Brasil",2026,756,Left Wing,Colombia,24,11/09/02,0,0,0.18,0.04,4.05,0,29,6,,0.06,0.12,0.13,1.43,0.12,0.12,1.31,0,0.01,0.12,0.12,0.31,5.48,-0.19,3.81,2.5,1.31,66,2.02,0,5.48,3.22,0.71,0.64,0.36,0.35,19.18,9.65,0,5.12,54.82,4.88,6.91,1.43,2.14,71,1.73,2.37,1.31,17,0.6,10,0.12,0,16.44,18.41,4.29,4.88,1.43,54.8,9.05,55,3.81,78,0.36,0,0,25.84,66,0.83,25,32,0.48,2.5,15,73,7,68.03,3.81,0.72,0.85,32.75,87,7.95,11.08,2.02,1.91,0.12,0.6,6.19,8.1,0,41,1.31,24,0.71,13,74,13,19,65,16,17.99,14,0.85,107,-4,15.32,14.94,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,12,6.25,35,0.09,0.24,0.04,-0.14,,0.24
Carlos Vinícius,Grêmio,"Serie A, Brasil",2026,741,Centre Forward,Brazil,31,24/03/95,0.73,0.61,0.32,0.16,1.94,31,56,9,100,0.55,0,0.01,0.24,0,0.01,0.24,0,0,0,0.61,0.33,2.19,0.28,0.12,0,0.12,0,0.97,0,1.09,2.19,0.12,0.08,0.12,0.08,23.08,11.3,0.01,4.49,71.99,1.58,1.82,0.12,0.24,25,0.08,0.16,1.09,25,0.36,31,0.97,0,21.87,21.54,4.37,3.64,0.36,72.77,18.59,85,3.4,93,0.12,0,0,7.05,69,0.24,70,50,0.49,0.12,38,58,-11,59.9,0.36,0.21,0.37,6.56,81,4.44,2.79,0,0,0,0.12,3.89,3.89,0,,0,0,0.12,16,57,26,17,61,22,15.35,16.5,1,120,1.15,15.39,19.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,7,1.41,12,-0.04,-0.04,0.07,0.26,,0.25
Jonathan Calleri,São Paulo,"Serie A, Brasil",2026,738,Left Centre Forward,Argentina,33,22/09/93,0.49,0.49,0.31,0.16,1.95,25,44,5,,0.47,0,0.05,0.61,0,0.05,0.61,0,0,0,0.49,0.36,2.56,0.13,0.37,0,0.37,0,2.32,0,0.98,2.07,0.37,0.46,0.49,0.64,20.25,10.49,0.01,4.51,65.64,1.95,3.05,0.49,0.85,44,0.7,1.16,1.71,29,0.61,45,2.44,0,18.05,21.97,3.78,3.17,0.85,67.21,14.88,82,2.93,92,0.12,0,0,13.05,70,0.24,9,50,0.61,0.37,35,52,-18,64.76,0.61,0.21,0.44,10.98,87,4.03,5.37,0.73,0.73,0,0.37,5.37,6.1,0,33,0.24,15,0.61,9,69,22,9,70,20,14.66,14.35,0.96,97,-0.31,14.07,13.97,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,12,2.83,22,0,-0.01,0.02,0.25,,0.27
Santi Ramos Mingo,Bahia,"Serie A, Brasil",2026,735,Left Centre Back,Argentina,25,20/11/01,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0,100,0.37,0,0.12,0,0.37,0.35,4.53,3.52,5.39,1.71,0.11,3.06,23.95,1.35,5.75,0.37,0.73,75,0.41,0.76,0.37,0,0.12,67,1.47,0,4.65,3.87,1.59,0.86,0.12,33.08,0.86,18,0.49,57,0.12,0,0,38.8,85,1.59,91,39,5.39,3.18,12,64,-21,40.54,4.41,0.36,0.36,32.92,100,4.09,4.53,0,0,0,0,0,0,0,,0,,0,31,67,2,46,54,0,21.18,21.99,0.91,86,0.81,19.23,18.89,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,13,1.98,13,0.01,0.03,0.16,,,0.21
Luciano,Bahia,"Serie A, Brasil",2026,735,Left Back,Brazil,27,28/08/99,0.24,0.24,0.05,0.05,1.1,22,56,1,0,0.19,0,0.06,1.35,0,0.03,0.86,0,0.03,0.49,0.24,0.12,2.45,0.13,0.61,0.24,0.37,40,0.98,0,0.12,1.35,1.1,1.28,3.79,2.94,8.69,4.65,0.01,4.65,30.44,2.94,8.2,1.1,2.2,43,1.13,2.41,0.61,40,1.47,42,0.98,0.12,7.22,7.05,2.57,2.45,0.86,38.95,2.2,31,1.22,50,0.12,0,0,37.7,82,3.18,89,53,4.77,5.02,15,76,-6,52.65,4.04,0.42,0.45,31.33,98,4.36,8.81,1.47,0.86,0.61,0,1.1,1.96,0.12,42,0.73,50,0.12,17,67,16,15,63,22,20.33,20.8,0.94,94,0.47,19.09,19.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,8,5.92,38,0.01,0.07,0.05,0.04,,0.18
