Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aké Loba,Querétaro,Liga MX,2024/2025,263,Centre Forward,Côte d'Ivoire,31/03/98,0,0,0.06,0.18,0.34,0,0,1,,0,0,0.07,1.37,0,0.07,1.37,0,0,0,0,0.14,1.71,-0.14,0.68,0.34,0.34,50,1.03,0,2.39,5.81,0.34,0.05,0.34,0.33,18.12,6.84,0,2.05,67.02,2.73,3.08,0.34,0.68,100,0.35,0.4,1.03,100,0,43,2.05,0,16.75,10.29,1.03,3.42,0,70.73,15.04,90,3.42,100,0,0,0,14.01,73,0.34,19,50,1.03,0,27,69,-4,63.66,1.03,0.07,0.19,15.72,61,6.16,4.79,0.34,0.34,0,0.68,2.73,3.08,0,0,0,,0.68,12,55,33,14,71,14,14.96,14.32,0.99,80,-0.65,14.8,11.48,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,16,2.12,22,0.01,-0.03,0.03,-0.01,,0
Alan Cervantes,Santos Laguna,Liga MX,2024/2025,102,Left Defensive Midfielder,Mexico,16/01/98,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.88,0,0,0,1.76,2.45,0.88,1.23,23.73,8.79,0.07,7.03,42.81,0,4.4,2.64,4.4,75,3.68,6.14,2.64,67,0.88,100,1.76,0,18.46,25.77,5.27,3.52,1.76,47.21,7.03,38,1.76,50,0.88,0,0,49.23,97,4.4,7,100,0.88,4.4,8,80,-17,43.13,2.64,0.32,0.32,38.68,100,5.14,6.15,0,0,0,0,0,0,0,,0,,0,8,88,3,0,86,14,21.16,22.05,1.01,112,0.88,21.34,24.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,7,3,2.2,38,0.02,0.01,0.11,,,0.14
Alan Cervantes,América,Liga MX,2024/2025,2149,Right Defensive Midfielder,Mexico,16/01/98,0.04,0.04,0.03,0.04,0.71,6,53,1,,0.03,0,0.02,0.46,0,0.02,0.46,0,0,0,0.04,0.05,1.17,-0.01,0.54,0.29,0.25,54,1.42,0,0.84,0.8,1.21,1.25,0.8,0.83,21.03,11.31,0.03,4.65,40.55,3.06,7.79,1.97,3.18,68,2.19,3.44,1.34,41,0.92,51,0.88,0,17.72,17.68,3.43,3.98,0.5,42.39,5.82,33,1.68,42,0.04,0,0,41.13,92,3.02,12,87,1.26,3.02,15,86,-6,45.88,3.02,0.4,0.43,34.56,96,4.43,6.58,0.21,0.21,0,0.08,1.09,1.3,0.08,40,0.21,83,0.17,15,75,10,17,74,9,19.14,16.86,0.99,101,-2.29,19.03,17.04,0,0,0,0,0,,0,0,,0,0,0,0,0,0,10,7,2.98,20,0.02,0.04,0.03,-0.01,,0.08
Alan Medina,Querétaro,Liga MX,2024/2025,834,Right Midfielder,Mexico,18/08/97,0,0,0.12,0.13,0.97,0,11,1,,0,0.22,0.09,0.97,0.22,0.09,0.97,0,0,0,0.22,0.21,1.94,0.01,1.94,0.76,1.19,39,1.4,0.11,2.37,4.42,1.29,0.54,0.32,0.16,18.88,8.74,0.01,3.02,47.03,4.1,7.66,1.94,3.24,82,1.58,2.12,1.4,57,0.43,42,1.19,0,15.54,9.45,2.27,2.7,0.11,49.59,7.23,47,2.27,84,0,0,0,27.95,78,1.19,14,58,0.54,1.83,25,75,-3,58.37,3.35,0.2,0.39,31.19,82,6.65,8.74,1.4,1.29,0.11,0.11,1.83,3.13,0.32,31,0.54,33,0.22,20,65,15,22,62,16,17.29,14.59,0.95,102,-2.7,16.37,14.81,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,14,4.74,37,0.08,0.16,-0.01,-0.08,,0.15
Alan Medina,León,Liga MX,2024/2025,246,Left Wing,Uruguay,09/04/98,0,0,0.01,0.01,0.73,0,50,1,,0.01,0,0,0.37,0,0,0.37,0,0,0,0,0.01,1.1,-0.01,1.83,0,1.83,0,0.73,0,1.1,2.2,0.37,0.57,0.73,1.05,16.12,6.23,0.05,2.2,49.7,7.69,11.72,1.47,1.83,50,1.83,2.4,0.73,20,1.47,71,1.83,0,13.92,18.44,1.83,4.03,0.37,54.03,8.43,61,3.66,91,0.37,0,0,40.3,72,2.56,17,39,1.83,5.5,18,48,-25,52.76,4.76,0.31,0.31,32.61,90,4.38,6.96,0,0,0,0,0,0,0,,0.37,13,0,15,73,12,16,74,11,23.6,25.4,0.88,75,1.8,20.76,19.04,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,7,2.78,24,-0.03,0.09,0.11,-0.02,,0.16
Alan Mozo,Guadalajara,Liga MX,2024/2025,2365,Right Back,Mexico,04/04/97,0.08,0.08,0.05,0.07,0.68,11,39,1,,0.04,0.04,0.05,0.53,0.04,0.05,0.53,0,0,0,0.11,0.1,1.22,0.02,1.6,0.88,0.72,55,0.72,0,0.95,2.17,0.99,0.99,1.37,1.4,16.21,8.03,0.01,3.04,36.64,2.47,6.32,2.47,3.46,73,2.45,3.44,1.41,59,0.91,26,0.23,0.04,12.33,12.46,2.13,1.83,0.27,40.06,3.96,32,1.07,58,0.11,0,0,37.26,78,2.13,8,52,1.6,3.88,10,59,-19,53,3.27,0.33,0.38,33.68,92,4.1,9.02,1.1,1.07,0.04,0.19,1.64,2.7,0,52,0.8,25,0.19,17,73,10,12,73,15,18.63,15.26,0.94,98,-3.38,17.42,14.88,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,11,4.33,31,0.07,0.06,0.04,-0.02,,0.15
Alan Pulido,Guadalajara,Liga MX,2024/2025,589,Centre Forward,Mexico,07/03/91,0.31,0.31,0.39,0.18,2.14,14,57,4,,0.57,0,0.06,0.92,0,0.06,0.92,0,0,0,0.31,0.45,3.06,-0.14,0.76,0.31,0.46,40,1.53,0,1.99,2.75,0,0,1.07,1.12,18.79,8.1,0.01,1.99,64.13,3.51,5.35,0.46,0.46,75,0.54,0.54,0.46,50,0.15,35,1.68,0,18.03,15.23,1.68,2.9,0.15,66.14,15.28,85,2.14,74,0.15,0,0,22.46,81,0.15,6,50,1.07,0.31,29,72,-9,59.63,1.99,0.49,0.61,22.31,84,3.76,7.49,0.15,0.15,0,0.46,5.19,5.35,0,100,0.31,50,0.61,9,71,20,4,78,18,13.34,12.08,1.02,103,-1.26,13.65,12.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,15,3.01,22,-0.06,0,-0.01,0.08,,0.02
Alan Torres,Mazatlán,Liga MX,2024/2025,1321,Right Defensive Midfielder,Mexico,18/02/00,0,0,0.04,0.05,0.95,0,7,1,,0,0.07,0.05,0.61,0.07,0.05,0.55,0,0,0.07,0.07,0.09,1.57,-0.03,0.41,0.34,0.07,83,0.48,0,0.48,0.61,0.89,0.8,0.75,0.41,17.92,11.31,0.02,4.36,42.58,4.43,10.5,0.82,1.7,38,0.58,1.38,1.16,31,1.36,50,0.41,0,15.95,12.93,3.61,3.2,0.41,44.35,6.13,38,1.7,53,0.2,0,0,47.64,88,5.59,5,80,1.43,6.27,13,82,-6,46.88,5.32,0.32,0.38,38.71,97,4,9.13,0.68,0.61,0.07,0.2,0.89,1.5,0.14,0,0.07,25,0.2,20,72,8,25,72,3,21.61,18.6,0.99,105,-3.01,21.3,19.57,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,3.46,33,0.08,0.05,-0.04,-0.04,,0.04
Alberto Herrera Rodríguez,Puebla,Liga MX,2024/2025,1079,Left Defensive Midfielder,Mexico,22/02/01,0,0,0.05,0.05,1,0,25,1,,0.02,0,0.03,0.83,0,0.02,0.67,0,0.01,0.17,0,0.08,1.84,-0.08,0.75,0.42,0.33,56,0.83,0,1.42,1.17,0.92,0.23,0.75,0.33,24.95,12.26,0.02,5.26,45.01,3.34,8.01,1.75,2.67,58,0.9,1.13,1.75,26,1.25,20,0.33,0,21.44,11.36,4,4.59,0.5,47.19,9.43,44,3.92,85,0.08,0,0,27.61,74,1.67,71,43,1.17,3.5,25,76,3,52.82,3.42,0.22,0.24,23.44,90,4.01,6.34,0.75,0.5,0.25,0,0.67,1.17,0.08,11,0.08,8,0.08,20,69,11,28,61,12,19.28,14.12,0.89,96,-5.16,17.11,13.55,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,12,3.18,26,0.05,0.01,0.02,-0.04,,0.05
Aldahir Perez,Querétaro,Liga MX,2024/2025,798,Left Centre Midfielder,Mexico,03/10/04,0.23,0.23,0.14,0.1,1.35,17,50,2,,0.23,0,0.05,0.9,0,0.02,0.68,0,0.03,0.23,0.23,0.19,2.26,0.04,2.26,1.13,1.13,50,1.92,0,1.24,2.48,0.9,0.65,0.11,0.08,27.08,16.36,0,4.74,46.26,2.48,7.11,1.92,2.82,63,0.94,1.59,1.35,47,1.13,40,0.68,0,23.81,13.95,3.72,3.95,0.68,47.18,9.59,40,2.82,71,0.11,0,0,27.98,76,1.81,87,53,0.9,2.6,22,79,3,53.39,3.72,0.3,0.34,28.89,89,5.8,6.88,0.56,0.34,0.23,0,2.03,2.37,0.11,0,0.11,33,0.11,16,74,10,28,66,7,19.76,19.67,0.97,89,-0.09,19.08,17.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,9,3.66,33,0.01,0.03,0.02,0.13,,0.2
Aldieri Joshua Valenzuela Garcia,Tijuana,Liga MX,2024/2025,45,Left Back,Mexico,23/02/03,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.99,0,2,0,0,0,3.99,6.34,3.99,2,0,0,22.93,2,5.99,0,0,,0,0,0,,0,100,2,0,3.99,6.34,0,2,0,34.6,0,0,0,0,0,0,0,15.97,55,2,40,50,3.99,3.99,18,50,-5,60.03,0,0,0,11.98,83,2.97,2,0,0,0,0,0,0,0,,0,,0,27,64,9,0,0,100,18.92,7.58,1.15,182,-11.34,21.7,13.8,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,18,1,14,0.02,-0.02,0.04,,,0.05
Aldo Cruz,Atlético San Luis,Liga MX,2024/2025,3098,Left Centre Back,Mexico,23/09/97,0,0,0,0.03,0.15,0,20,0,,0,0,0.02,0.44,0,0.02,0.44,0,0,0,0,0.03,0.58,-0.03,0.23,0.12,0.12,50,0.7,0,0.44,0.46,0.78,0.85,3.11,3.06,10.02,4.71,0.02,3.78,28.76,2.29,8.51,1.71,2.5,81,2.01,2.87,0.35,57,0.41,65,1.48,0.06,7.99,9.37,2.35,1.25,0.23,33.56,1.95,24,0.64,51,0.03,0,0,47.79,83,4.39,81,56,4.39,6.57,17,72,-11,40.73,4.91,0.28,0.31,40.47,98,5.29,6.74,0.73,0.67,0.06,0.09,0.26,0.93,0.03,48,0.44,54,0.09,31,64,6,36,59,5,21.72,20.15,0.94,96,-1.56,20.37,19.35,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,11,3.45,28,0.08,0.07,0.04,-0.01,,0.19
Aldo López,Santos Laguna,Liga MX,2024/2025,2247,Right Defensive Midfielder,Mexico,22/05/00,0.12,0.12,0.1,0.12,0.84,14,48,1,,0.16,0.04,0.05,0.56,0.04,0.05,0.56,0,0,0,0.16,0.15,1.4,0.01,0.84,0.44,0.4,52,0.6,0,0.44,1.2,1.76,1.62,0.92,0.87,18.06,8.73,0.02,4.77,38.97,2.76,6.97,1.4,3.16,66,1.48,3.1,0.64,47,0.72,31,0.4,0,16.02,14.41,3.36,2.44,0.28,41.6,5.45,34,1.48,61,0.04,0,0,31.36,88,2.56,14,81,1.4,2.68,16,85,-3,47.02,3.12,0.3,0.38,26.63,95,4.12,5.77,0.36,0.28,0.08,0,1.4,1.68,0.12,11,0.08,22,0.16,20,70,10,19,74,7,19.19,16.96,0.99,99,-2.22,18.98,16.86,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,8,2.95,25,0.04,0.06,0.05,0.02,,0.16
Aldo Rocha,Atlas,Liga MX,2024/2025,3080,Right Defensive Midfielder,Mexico,05/11/92,0.06,0.03,0.09,0.07,1.26,2,16,1,50,0.05,0,0.04,0.73,0,0.03,0.61,0,0.01,0.12,0.03,0.13,1.99,-0.1,0.56,0.38,0.18,68,1.02,0,0.58,0.79,1.14,0.88,0.99,0.76,20.11,10.87,0.02,3.97,40.57,4.85,9.96,1.64,2.78,59,1.26,2.14,1.34,41,1.14,43,0.61,0.03,17.15,12.98,2.95,2.83,0.38,42.14,5.76,34,1.46,52,0.2,0,0,46.2,86,4.12,15,67,1.67,5.49,19,83,-3,46.1,5.67,0.33,0.37,38.05,97,3.68,8.3,0.56,0.44,0.12,0.12,1.52,1.96,0.06,16,0.12,25,0.23,21,71,9,31,66,3,20.71,18.12,0.96,98,-2.59,19.85,17.73,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,9,4.72,33,0.03,0.06,-0.01,-0.06,,0.03
Alejandro Andrade,Necaxa,Liga MX,2024/2025,648,Left Centre Back,Mexico,15/08/01,0,0,0.01,0.03,0.28,0,50,0,,0,0,0.02,0.42,0,0.02,0.42,0,0,0,0,0.03,0.69,-0.03,0.83,0.56,0.28,67,0.56,0,0.56,0.69,0.83,0.39,2.5,1.94,17.93,8.34,0.02,5,34.79,2.36,9.03,2.22,3.06,89,1.5,1.89,1.67,60,0.28,60,1.67,0,14.04,8.95,3.75,1.67,0.14,36.57,3.47,25,0.97,58,0.28,0,0.14,25.15,81,1.53,80,50,2.92,2.64,15,71,-10,40.11,1.53,0.29,0.3,19.45,94,5.49,1.95,0.14,0.14,0,0,0.42,0.56,0,0,0,,0,27,64,9,29,71,0,21.38,19.11,0.94,93,-2.27,20.1,17.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,6,3.2,17,0.04,0.05,0.04,-0.01,,0.13
